MOUSE ID,B1,B2,B3,L1,L2,L3,D1,D2,D3
1,3,4,4,133,17,1,14,12,8
2,4,6,9,114,12,2,14,4,5
3,6,2,2,41,5,8,5,5,8
4,9,6,4,23,2,5,4,9,13
5,6,12,16,20,9,2,6,4,4
6,7,11,9,35,1,2,11,8,5
7,3,18,10,21,1,0,13,5,10
8,0,8,11,180,7,6,0,9,6
9,5,12,7,46,3,2,4,6,7
10,11,4,14,45,2,2,6,16,5
11,5,10,9,62,1,6,6,5,6
12,4,9,7,73,3,2,6,6,7
13,0,0,6,180,180,2,0,0,7
14,0,2,1,180,152,4,0,12,1
15,6,8,11,49,10,1,5,6,6
16,5,5,10,62,1,2,5,6,4
17,1,5,9,125,2,2,2,6,4
18,11,7,10,1,2,0,4,7,6
19,1,6,2,165,58,15,1,3,2
20,3,4,3,45,10,18,11,7,7
21,0,1,0,180,170,180,0,3,0
22,8,5,11,6,2,10,3,4,4
23,10,10,14,14,4,1,8,5,6
24,1,7,13,118,2,2,24,9,6
25,8,10,8,39,10,4,3,6,4
26,1,5,0,1,29,180,1,7,0
27,5,6,12,124,40,2,3,6,4
28,2,4,13,106,1,6,2,4,2
29,4,6,6,90,5,48,6,14,6
30,0,7,4,180,20,14,0,5,6
31,6,4,8,85,6,2,4,7,4
32,1,10,8,58,47,6,2,5,3
33,2,5,7,140,55,9,5,5,3
34,3,12,4,97,4,6,7,3,6
35,0,7,6,180,33,56,0,3,4
36,8,9,10,74,45,2,5,9,6
37,0,2,6,180,2,58,0,3,3
38,2,0,4,163,180,98,3,0,3
39,3,1,2,125,117,3,9,7,3
40,3,0,4,81,180,3,10,0,4
41,1,6,11,174,6,6,6,3,5
42,0,2,3,180,4,1,0,2,2
43,6,9,13,109,5,2,4,4,3
44,1,5,5,179,104,57,1,3,2
45,2,0,6,152,180,10,14,0,9
46,4,6,6,59,6,4,3,4,4
47,7,9,7,46,0,1,2,4,3
48,3,3,7,170,145,14,1,2,2
49,3,2,5,146,143,78,1,3,6
50,0,0,3,180,180,135,0,0,2
51,6,7,7,82,149,10,1,2,1
52,0,0,3,180,180,134,0,0,5
53,3,11,10,148,14,20,1,3,3
54,5,3,3,81,42,11,1,2,3
55,2,13,6,128,4,18,1,3,3
56,4,10,4,155,8,5,2,1,1
57,0,1,0,180,36,180,0,1,0
58,0,3,0,180,131,180,0,3,0
59,3,7,4,120,3,2,3,3,2
60,0,8,1,180,112,120,0,5,3
61,0,0,4,180,180,24,0,0,12
62,0,1,1,180,150,111,0,3,3
63,0,1,5,180,179,70,0,1,17
64,6,9,3,119,112,105,3,3,5
65,0,3,8,180,150,70,0,1,3
66,0,0,6,180,180,57,0,0,4
67,0,12,11,180,10,15,0,3,2
68,7,7,14,48,50,2,2,3,5
69,7,4,4,112,4,18,1,1,2
70,0,11,10,180,48,5,0,3,6
71,1,4,5,173,58,35,1,2,5
72,4,4,2,132,52,138,1,2,3
73,3,7,6,62,5,7,2,2,2
74,0,6,8,180,141,2,0,5,4
75,1,5,0,139,51,180,1,2,0
76,1,0,0,179,180,180,2,0,0
77,6,15,5,31,22,36,1,3,4
78,0,4,4,180,165,109,0,2,3
79,0,4,0,180,128,180,0,3,0
80,1,0,3,167,180,58,1,0,4
81,2,2,4,122,110,84,1,3,7
82,0,0,4,180,180,68,0,0,5
83,0,0,3,180,180,37,0,0,5
84,0,3,6,180,116,96,0,4,5
85,0,4,5,180,73,59,0,3,3
86,5,6,6,107,93,71,2,4,4
87,6,2,7,97,73,45,3,5,2
88,0,5,3,180,132,128,0,5,4
89,11,1,5,26,18,106,1,2,5
90,0,0,1,180,180,139,0,0,4
91,15,0,0,89,180,180,2,0,0
92,11,5,4,17,102,57,1,3,4
93,11,0,0,91,180,180,1,0,0
94,0,7,15,180,29,10,0,2,4
95,3,0,3,172,180,105,3,0,5
96,4,1,5,142,103,42,3,5,5
97,2,5,1,173,100,141,4,5,2
98,2,6,4,145,0,4,2,4,2
99,0,0,3,180,180,104,0,0,4
100,0,0,1,180,180,92,0,0,4
101,0,3,0,180,150,180,0,7,0
102,1,2,3,121,69,10,1,3,10
103,5,6,3,145,160,112,2,3,3
104,0,0,4,180,180,122,0,0,6
105,0,11,5,180,30,13,0,4,4
106,0,1,0,180,126,180,0,18,0
107,4,10,5,90,15,11,6,5,3
108,1,0,0,110,180,180,15,0,0
109,1,0,0,173,180,180,2,0,0
110,0,5,0,180,37,180,0,9,0
111,4,12,5,78,30,4,6,5,2
112,0,1,2,180,128,112,0,7,12
113,0,7,3,180,18,3,0,2,4
114,6,3,6,34,9,16,4,4,5
115,0,3,2,180,88,70,0,4,12
116,0,6,7,180,53,9,0,2,5
117,4,6,2,30,12,131,3,6,6
118,3,0,3,106,180,60,4,0,3
119,1,0,5,34,180,5,14,0,7
120,0,5,0,180,123,180,0,1,0
121,3,8,1,61,13,2,3,2,9
122,0,5,0,180,22,180,0,5,0
123,3,8,0,129,2,180,3,4,0
124,0,2,1,180,84,16,0,0,6
125,0,0,2,180,180,119,0,0,8
126,0,0,3,180,180,106,0,0,8
127,4,6,11,78,4,2,5,5,5
128,0,2,2,180,99,116,0,8,8
129,2,8,6,126,26,15,4,6,7
130,1,0,1,60,180,6,1,0,8
131,0,4,4,180,66,7,0,1,2
132,0,2,12,180,113,2,0,4,3
133,2,4,8,84,24,0,3,9,5
134,0,3,0,180,130,180,0,2,0
135,0,5,2,180,128,130,0,6,4
136,0,0,1,180,180,87,0,0,2
137,1,7,3,58,14,2,1,4,6
138,4,2,3,142,7,6,3,3,4
139,5,0,7,141,180,17,4,0,5
140,2,2,3,63,26,6,1,3,7
141,0,0,3,180,180,126,0,0,0
142,9,6,6,19,9,6,3,5,5
143,0,4,6,180,42,6,0,3,4
144,0,2,0,180,135,180,0,12,0
145,0,3,1,180,142,138,0,9,8
146,0,4,1,180,63,101,0,6,4
147,2,3,1,134,155,102,3,4,20
148,0,6,2,180,32,18,0,10,15
149,0,4,0,180,136,180,0,6,0
150,0,1,3,180,93,7,0,9,6
151,2,4,3,105,38,7,2,5,8
152,1,0,0,75,180,180,5,0,0
153,3,7,0,67,137,180,4,4,0
154,1,0,0,175,180,180,6,0,0
155,0,4,3,180,156,74,0,3,5
156,0,4,12,180,136,21,0,9,5
157,0,0,4,180,180,40,0,0,12
158,0,0,4,180,180,82,0,0,8
159,1,0,0,153,180,163,21,0,0
160,0,3,3,180,111,114,0,5,8
161,0,2,3,180,36,11,0,4,11
162,3,4,5,105,40,23,13,5,17
163,0,0,3,180,180,80,0,0,14
164,1,0,0,125,202,180,20,0,0
165,2,2,8,160,145,6,11,7,9
166,3,1,1,70,152,32,4,19,20
167,0,5,5,180,144,13,0,6,12
168,0,0,3,180,180,25,0,0,12
169,0,2,3,189,72,74,0,3,6
170,1,0,0,95,180,180,1,0,0
171,0,1,2,180,24,131,0,4,9
172,0,2,4,180,53,76,0,26,7
173,0,1,0,180,176,180,0,4,0
174,0,0,1,180,180,93,0,0,17
175,3,6,1,109,7,126,9,4,2
176,0,2,0,180,155,157,0,12,0
177,1,1,5,127,41,90,8,13,5
178,5,4,4,110,132,21,6,8,4
179,4,8,4,120,17,6,12,9,7
180,8,9,9,140,15,4,2,6,3
181,0,0,1,180,180,112,0,0,19
182,0,9,5,180,37,107,0,4,6
183,0,0,1,180,180,60,0,0,10
184,0,2,7,180,9,15,0,8,7
185,0,3,6,180,14,1,0,8,9
186,0,0,1,180,180,120,0,0,7
187,0,0,1,180,180,107,0,0,5
188,1,0,0,162,180,180,9,0,0
189,0,1,4,180,169,100,0,4,6
190,3,4,4,69,20,24,1,3,5
191,0,3,0,180,99,180,0,12,0
192,0,0,4,180,180,28,0,0,8
193,4,6,5,140,53,26,7,9,3
194,0,2,3,180,156,19,0,5,6
195,0,0,1,180,180,91,0,0,35
196,0,4,0,180,27,180,0,11,0
197,0,2,2,180,41,108,0,10,3
198,1,2,0,154,114,180,4,4,0
199,0,0,1,180,180,130,0,0,16
200,0,3,5,180,65,48,0,8,13
201,0,4,6,180,39,6,0,7,9
202,0,3,8,180,82,51,0,4,6
203,4,5,8,22,1,4,4,5,8
204,0,0,1,180,180,98,0,0,29
205,0,1,7,180,77,10,0,0,8
206,2,1,4,146,128,26,3,11,9
207,1,4,5,169,79,3,4,3,6
208,0,1,1,180,42,26,0,12,12
209,6,2,4,4,13,1,4,18,14
210,2,4,4,65,4,10,7,12,13
211,3,3,4,132,78,6,5,2,9
212,1,1,5,127,162,22,5,6,6
213,0,2,5,180,91,14,0,7,10
214,0,0,3,180,180,12,0,0,11
215,3,2,7,93,16,10,11,7,5
216,0,0,3,180,180,55,0,0,14
217,0,0,1,180,180,138,0,0,6
218,5,3,6,29,2,1,6,4,9
219,0,3,4,180,82,16,0,3,6
220,4,7,5,53,10,5,7,7,9
221,2,1,5,95,156,1,6,4,2
222,0,0,6,180,180,55,0,0,2
223,4,2,2,102,49,127,5,3,8
